,Accuracy without feature_selection,Accuracy Classic=0.2,Accuracy Classic=0.5,Accuracy Boruta=0.2,Accuracy Boruta=0.5
gbc,0.7462,0.7438,0.7422,0.7386,0.7366
lightgbm,0.743,0.7398,0.741,0.737,0.7307
ada,0.7303,0.7093,0.7038,0.7125,0.7085
rf,0.6951,0.6919,0.6816,0.7208,0.735
dt,0.6812,0.6796,0.6669,0.6555,0.6574
et,0.6765,0.682,0.6907,0.7054,0.6943
lr,0.6325,0.6214,0.6325,0.6384,0.6241
ridge,0.6309,0.6261,0.6301,0.6329,0.6225
knn,0.6107,0.6131,0.6075,0.5984,0.5873
qda,0.5723,0.5521,0.5885,0.503,0.5022
svm,0.5643,0.5493,0.5418,0.5647,0.5406
nb,0.5054,0.5006,0.5216,0.4958,0.4966
dummy,0.5018,0.5026,0.5014,0.5057,0.5034
lda,0.4193,0.4822,0.6012,0.6376,0.642
